Popularity1,Popularity2,Popularity3,Popularity4,danceability1,danceability2,danceability3,danceability4,energy1,energy2,energy3,energy4,key1,key2,key3,key4,loudness1,loudness2,loudness3,loudness4,mode,speechiness1,speechiness2,speechiness3,speechiness4,acousticness1,acousticness2,acousticness3,acousticness4,instrumentalness1,instrumentalness2,instrumentalness3,instrumentalness4,liveness1,liveness2,liveness3,liveness4,valence1,valence2,valence3,valence4,tempo1,tempo2,tempo3,tempo4,duration_in min/ms1,duration_in min/ms2,duration_in min/ms3,duration_in min/ms4,time_signature1,time_signature2,Class
0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.9,0.1,0.1,0.1,0.9,0.9,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.9,0.1,10.0
0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.9,0.9,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.0
0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.9,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.9,0.1,5.0
0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.9,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,2.0
0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.9,0.1,10.0
0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,9.0
0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.9,0.1,10.0
0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.9,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.9,0.1,0.1,0.1,0.9,0.1,9.0
0.9,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,2.0
0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,7.0
